incident_county,incident_acres_burned,longitude,latitude
Shasta,12661,-122.750788,40.4314
Yolo,6488,-122.104,38.512
Modoc,1469,-120.904,41.489
Modoc,1651,-120.79,41.89
Trinity,15,-123.24,40.41
San Diego,217,-116.576454,33.078948
Contra Costa,80,-121.5118,37.5359
Shasta,75,-121.3415,40.5719
San Luis Obispo,47,-121.0226,35.8218
Nevada,38,-121.2687,39.1871
Shasta,143,-122.2215,40.6569
Kern,1680,-118.15,35.642
Butte,72,-121.6129,39.4664
"Amador, El Dorado",4240,-120.7819,38.5691
Shasta,39736,-121.368,40.901
Modoc,13153,-121.2144,41.1336
Siskiyou,35302,-122.345,42.048
Shasta,32416,-121.562,40.72
Shasta,6258,-122.805,41.141
Siskiyou,5503,-122.127,41.682
Shasta,25,29.24,40
Madera,10,18.4,37
Madera,612,-119.6581,37.3433
Modoc,101,-121.266,41.507
Siskiyou,0,-123.374,41.796
San Diego,20,-116.89516,32.59154
Los Angeles,190,-117.771,34.235
Los Angeles,274,-117.867,34.267
Nevada,84,-120.0805,39.3918
Kern,4045,-118.4747,35.7206
Trinity,580,-122.946,40.7412
Shasta,1375,-122.171,40.7101
Tuolumne,70,-120.3434,37.8316
Humboldt,210,-123.753,41.134
Napa,27,-122.384054,38.695961
Mariposa,311,40.34,37
El Dorado,97717,-120.629714,38.805437
Siskiyou,200,-121.851,41.485
Orange,968,-117.601,33.748
Nevada,247,-120.999508,39.113682
Madera,320,-119.604124,37.311915
Siskiyou,516,-122.37432,41.42384
San Bernardino,48,-117.70643,33.93869
El Dorado,94,-120.028,38.59
El Dorado,20,-120.1140659,38.9195001
San Diego,80,-116.9454387,32.6449163
Plumas,137,-120.7016667,40.05083333
Riverside,1049,-117.642759,33.884313
Merced,275,-121.06963,37.08312
Humboldt,20,-123.8292,41.1513
Trinity,1542,-123.168,40.924
Kern,67,-120.19482,35.77937
Napa,38,-122.3415,38.5287
Amador,60,-121.135426,38.260777
Tehama,55,-122.552,40.0133
San Diego,171,-116.8534,32.9421
San Bernardino,31359,-116.8927778,34.16027778
Yuba,158,-121.26471,39.2688
Madera,920,-119.523943,37.165767
Madera,135,-119.6958,37.072561
Lassen,60,-121.033667,40.875667
Alpine,0,-119.751944,38.598056
Los Angeles,415,-118.535793,34.361007
San Bernardino,100,-117.243878,34.165974
Napa,19,-122.181878,38.519132
Mendocino,35,-123.248214,39.7806004
Tehama,170,-122.3638,39.8448
Mendocino,23,-123.303,39.0263
Solano,150,-122.0789,38.4113
Solano,40,-122.1578,38.1029
Shasta,18,-122.4397,40.5953
San Bernardino,54,-117.0487863,34.0783472
San Luis Obispo,95,-121.0157,35.7183
Riverside,21,-117.43942,33.986204
Orange,214,-117.7274,33.7626
Siskiyou,181,-122.5029,41.8048
San Diego,25,-116.73472,33.21407
San Bernardino,4250,-117.478,34.339
Los Angeles,200,-117.683,34.367
San Benito,25,-121.5681,36.8727
Tulare,430,-118.824235,36.085212
Siskiyou,24,-121.891226,41.999341
Napa,65,-122.43172,38.40958
Placer,26,-121.1548,38.9361
El Dorado,75,-120.404,38.776
Modoc,116,-121.172117,41.29226
Modoc,77,-121.101623,40.856422
San Diego,167,-116.868611,33.383889
San Diego,25,-116.51684,32.682547
Nevada,2304,-120.882313,39.192088
Humboldt,158,-123.784067,41.295667
Madera,5702,-119.50014,37.279722
Calaveras,114,-120.5577,38.052
Stanislaus,40,-121.20324,37.24523
Humboldt,16,-123.774,40.1093
Tulare,6980,-118.54,36.24
Butte,400,-121.38794,39.43963
Lake,69438,-122.4762475,38.8863538
Shasta,75,-122.199227,40.509552
Shasta,212,-122.439939,40.415108
Tuolumne,204,-120.15644,37.823
Tuolumne,112,-120.61691,37.83618
Contra Costa,195,-121.68113,37.81629
Shasta,90,-122.20109,40.49865
Tulare,86,-118.9009,36.49845
Mendocino,50,-123.36316,39.43301
Riverside,543,-116.5387,33.5736
Modoc,4863,-121.392,41.399
Shasta,75,-121.93244,40.67868
Santa Barbara,52,-120.2903,34.9522
Yuba,30,-121.18735,39.33303
Shasta,59,-122.40546,40.3929
Lassen,10570,-120.105,40.938
San Diego,55,-117.2886249,33.4115972
Tehama,110,-121.7786799,40.3506868
"Lake, Napa",25118,-122.4867319,38.8142503
San Luis Obispo,2446,-120.6269,35.3477
Humboldt,146,-124.0720419,40.1058823
Alameda,2700,-121.3732,37.3845
Lake,22,-122.53428,38.831478
Lake,215,-122.879272,38.925764
San Bernardino,55,-116.883,34.23
Trinity,128,-122.96174,40.724898
Lake,673,-122,55.23
Butte,72,-121,26.42
Lassen,30,-121.194256,41.12362
Tuolumne,108,-120.30188,38.04684
Trinity,35,41.46,40
Lassen,40,-120.553075,40.400196
Fresno,170,-120.553075,40.400196
Butte,1042,-121.3363,39.5218
Shasta,109,-122.52541,40.47512
Butte,104,-121.8938,39.8707
Fresno,151623,-118.905,36.874
Merced,30,-121.08036,37.2171
Ventura,50,-118.879444,34.15
San Benito,670,-121.32734,36.70854
Santa Barbara,21,-119.63216,34.4828
Nevada,30,-121.194,39.081
Monterey,1086,-121.589554,36.3699644
Monterey,95,-121.7556029,36.5696373
Los Angeles,0,-118.7892593,34.6888731
Tuolumne,85,-120.528836,37.927613
Monterey,3876,-121.20059,36.38123
Los Angeles,156,-118.354,34.276
Fresno,278,-119.654,36.88286
Stanislaus,120,-121.42238,37.17072
Butte,91,-121.78973,39.33035
Butte,30,-121.595093,39.624017
San Luis Obispo,150,-120.39993,35.61961
Monterey,25,-121.0381507,35.8378273
Fresno,132,-119.38248,36.78769
Placer,169,-121.3090268,38.8390117
San Diego,70,-117.08829,33.41639
Tulare,0,-118.08591,35.84883
Butte,112,-121.6008,39.595
San Luis Obispo,86,-120.82266,35.70821
Calaveras,33,-120.8678,38.22017
Tehama,43,-122.40142,39.93965
Placer,88,-121.37704,38.86804
El Dorado,25,-120.6955,38.64107
San Benito,30,-121.40304,36.80296
Sacramento,32,-121.06452,38.3131
Riverside,139,-117.140883,33.476894
Monterey,2520,-121.25029,36.01542
San Luis Obispo,0,-119.58206,35.01382
Shasta,24,-122.46777,40.61388
Amador,210,-120.90265,38.26874
San Diego,7609,-116.63028,32.60729
Monterey,70,-121.3306,36.2833
Tehama,80,-121.857,39.7947
Kern,61,-120.251,35.77135
San Benito,83,-121.04993,36.49914
Siskiyou,2860,-123.557,41.623
Santa Barbara,7474,-119.643,34.776
Yolo,277,-122.15457,38.69971
Butte,49,-121.6051,39.43351
Kern,48019,-118.45628,35.6115
Monterey,52,-120.9293,36.1934
Merced,1246,-121.20155,37.07147
Orange,47,-117.77395,33.57872
Alameda,211,-121.58677,37.74369
Mono,650,-119.14,37.97
Lake,215,-122.50373,39.12366
"El Dorado, Placer",5646,-120.9375,38.96741
Amador,372,-121.003611,38.385
Fresno,188,-119.39619,36.92244
Los Angeles,1109,-118.57245,34.36763
San Benito,95,-120.841536,5487
Kern,554,118.9082,34.913
Shasta,441,-122.72913,40.36873
Tehama,464,-122.56939,40.0353
Kern,1785,-118.72272,35.20993
Ventura,2304,-119.144,34.701
Tehama,88,-122.2071,40.07846
Fresno,2944,-120.452041,36.0749
Inyo,30,-118.15589,36.58972
Calaveras,310,-120.61153,38.02845
Sacramento,87,-121.103642,38.517772
Fresno,145,-120.62048,36.14161
Madera,103,-119.65776,37.25601
Ventura,45,-118.63264,34.27619
Ventura,15,-116.58542,33.11645
Calaveras,341,-120.81394,38.08056
Calaveras,35,-120.67335,37.96311
