incident_county,incident_acres_burned,longitude,latitude
Fresno,69,-119.28241,36.7279
Humboldt,40,-123.63721,41.02705
Amador,10,-120.72274,38.34421
Tulare,36556,-118.74103,36.15356
Siskiyou,54,-122.27499,41.222
Butte,4016,-121.30209,39.57701
Madera,12407,-119.64622,37.44663
Lassen,6042,-120.22215,40.43962
Siskiyou,55,-121.90077,41.99483
Mono,8925,-119.55425,38.655
Modoc,28,-120.36659,41.4844
Nevada,392,-121.12004,39.34292
Modoc,27,-120.31814,41.64469
Fresno,102,-120.32685,36.36113
Humboldt,34,-123.64214,40.03697
Trinity,21846,-123.10003,40.76025
Riverside,85,34.015742,117.337331
Los Angeles,30,-118.62882,34.52055
San Diego,130,-116.76997,32.6001
Stanislaus,5247,-119.782,38.329
Riverside,34,-117.33364,33.73547
Stanislaus,1749,-119.941,38.12
Shasta,25,-122.02525,40.71923
Kern,1319,-118.406,35.76
Los Angeles,7194,-118.2674,34.22957
Madera,1035,-119.48067,37.21616
Fresno,100,-120.52189,36.09486
Riverside,3874,-117.09984,33.97471
San Luis Obispo,120,-120.50886,35.31886
Lake,21,-122.49327,39.01748
Plumas,79,-120.9204,40.13278
Santa Clara,100,-121.59899,36.99092
Mariposa,680,-119.83556,37.37397
Lassen,18618,-119.93499,40.69573
San Luis Obispo,25,-121.04445,35.76343
Siskiyou,54,-122.292,41.222
Trinity,32,-123.375,40.804
Tuolumne,39,-120.504134,37.896778
San Diego,25,-116.61609,32.59252
Mariposa,0,-119.78256,37.73596
San Luis Obispo,74,-120.56068,35.5956
Monterey,43,-120.87609,36.17297
Plumas,2575,-120.75485,39.75312
Fresno,10,-119.32109,37.10067
Lake,200,-122.85194,39.44543
Butte,143,-121.56858,40.07613
Siskiyou,39715,-123.218,42.039
San Mateo,50,-122.3001,37.41591
Shasta,995,-121.81623,40.98352
Del Norte,40,-124.01168,41.98128
Butte,12,-121.60683,39.44257
Lake,58,-123.03344,39.42604
Trinity,13417,-123.03583,40.2275
El Dorado,136,-120.915,38.5758
Madera,429,-120.015509,37.14624
Mendocino,146,-123.1362,39.02482
Alameda,155,-121.49925,37.63358
Fresno,237,-120.31598,36.24653
Madera,48,-120.90462,36.94652
San Luis Obispo,245,-120.39387,35.12269
Mariposa,10,-120.15846,37.76888
Butte,28,-121.7127,39.8255
Solano,55,-122.0041,38.4446
Yuba,26,-121.40947,39.03168
Alameda,22,-122.169,37.77982
San Luis Obispo,105,-120.65279,35.3024
Orange,2662,-117.68598,33.8668
Tulare,18900,-118.48555,36.27138
Santa Barbara,444,-120.4393,34.67403
Kern,40,-118.46734,35.59302
Riverside,35,-117.10301,33.74925
Solano,100,-121.97233,38.43658
Mariposa,17,-119.87465,37.41231
Tehama,20,-122.24731,40.20077
Lake,87,-122.576,39.15016
Shasta,40,-122.24199,40.70627
Sonoma,20,-123.24713,38.51937
Tehama,10,-122.255,40.24789
Humboldt,20,-123.96844,40.88516
Butte,8417,-121.52966,39.62496
"Napa, Solano",51624,-122.24367,38.39206
"Napa, Sonoma",36807,-122.62879,38.60895
"Napa, Sonoma",56556,-122.5209,38.4041
Napa,0,-122.39052,38.31802
Butte,6151,-121.40613,39.39455
Yuba,9989,-121.4021,39.32198
Nevada,76,-121.08406,39.19325
Mendocino,36523,-123.16635,39.24873
Calaveras,130,-120.52953,38.40234
Sonoma,1660,-122.47301,38.14242
San Luis Obispo,45,-120.44448,35.28738
Kern,50,-118.56578,35.21556
Lake,2207,-122.64543,39.01387
Nevada,821,-121.12792,39.24549
Butte,150,-121.67261,39.74679
Orange,9217,-117.70975,33.87041
Riverside,866,-117.34192,33.60247
Tehama,194,-121.91425,40.02261
Fresno,58,-119.2288,36.7528
Sonoma,17357,-122.90939,38.76549
Santa Cruz,391,-122.07012,37.18356
Los Angeles,50,-118.05545,34.22551
Trinity,148,-123.51619,40.46836
Kern,183,-118.76152,35.19008
San Diego,25,-116.50897,33.18716
Nevada,19,-121.13737,39.06414
El Dorado,29,-120.46234,38.77921
Riverside,23,-117.02132,33.50488
San Bernardino,34,-117.40625,34.21829
San Bernardino,260,-117.33334,34.16564
Riverside,50,-117.00589,33.8826
San Bernardino,40,-117.4982,34.13534
Kern,184,-118.701,35.3091
San Luis Obispo,73,-120.96514,35.78616
El Dorado,426,-120.287,38.848
Lake,100,-122.57487,39.0199
Sonoma,100,-122.58152,38.46123
Sonoma,0,-122.64001,38.36685
Monterey,31,-121.80377,36.5858
Alameda,116,-121.85663,37.7393
San Diego,1088,-117.402445,33.402411
Stanislaus,13,-120.84748,37.89532
Los Angeles,6049,-118.58188,34.45283
Los Angeles,15619,-118.35863,34.31283
"Santa Barbara, Ventura",281893,-119.09124,34.41521
Riverside,40,-117.4764,33.96514
Tehama,43,-122.28165,39.81517
Mono,370,-119.48284,38.46111
San Diego,81,-117.46709,33.38613
Riverside,40,-116.50151,33.90327
Ventura,86,-119.30918,34.34949
San Luis Obispo,21,-120.00353,35.41112
San Benito,47,-121.00391,36.38109
San Diego,100,-116.37345,32.64962
San Bernardino,99,-116.940661,34.035344
San Diego,4100,-117.163,33.3237
Riverside,300,-117.14979,33.59257
Riverside,19,-116.91023,33.88994
Los Angeles,422,-118.48178,34.09454
Santa Barbara,14,-120.27077,34.71796
Santa Barbara,14,-120.414875,34.605358
Riverside,45,-117.38417,33.9885
El Dorado,80,-119.61865,38.869036
Monterey,50,-121.28185,35.96689
Inyo,2070,-118.50235,37.40208
Alameda,12,-121.6039,37.73835
Riverside,1261,-117.05992,33.62924
Riverside,15,-116.164058,33.711263
Santa Barbara,258,-119.76576,34.0232
Shasta,11,-121.77419,40.4635
Riverside,21,-117.48144,33.86439
San Diego,12,-116.58759,33.12213
Siskiyou,127,-122.48556,41.65935
Riverside,18,-117.16232,33.88744
Plumas,20,-120.18499,39.89075
Santa Barbara,60,-120.18236,34.74245
San Diego,18,-117.27467,33.40178
San Diego,300,-117.502405,33.389425
Merced,1756,-120.77206,36.85156
Riverside,70,-117.148204,33.504964
Riverside,15,-117.003829,33.467999
Inyo,1265,-118.08449,36.71537
Humboldt,0,-123.55012,40.70258
Riverside,73,-117.32281,33.67815
Tulare,26,-118.9821,35.826333
Tehama,103,-122.21032,40.31759
Siskiyou,27,-122.513883,41.791859
Merced,88,-121.01638,37.056944
Napa,12,-122.23059,38.16303
San Diego,59,-117.03134,33.35505
Madera,56,-119.75307,37.0979
San Luis Obispo,100,-120.12441,35.56922
Fresno,108,-119.42172,36.75581
Santa Clara,16,-121.76828,37.21803
Riverside,10,-116.10231,33.53924
Glenn,75,-122.58666,39.65578
Stanislaus,63,-121.10903,37.32744
San Luis Obispo,25,-120.64028,35.71859
Alameda,484,-121.57918,37.75375
Yolo,14,-122.01762,38.64953
Glenn,127,-122.65582,39.46543
Tehama,23,-122.29388,40.201826
Contra Costa,23,-121.86473,37.99113
Orange,175,-117.72044,33.55132
Riverside,10,-117.22215,33.45014
Fresno,13,-120.55324,36.10499
Tehama,10,-122.3307,39.80827
Riverside,11,-117.31468,33.47413
Riverside,17,-117.28189,33.742
San Benito,35,-121.36446,36.83036
San Luis Obispo,12,-120.91793,35.75737
Siskiyou,37,-122.33769,41.58233
San Diego,38,-117.06782,32.78031
San Diego,10,-116.92404,32.75072
Los Angeles,1352,-118.31138,34.5486
Siskiyou,12,-122.98442,41.64805
San Benito,1314,-120.99322,36.40755
San Benito,513,-120.901167,36.378333
Madera,300,-119.623981,37.10181
San Benito,64,-121.03253,36.64832
Sonoma,10,-122.44408,38.245151
San Diego,12,-117.22974,33.40769
San Diego,265,-116.46674,32.63046
San Joaquin,62,-121.09199,38.24033
Merced,200,-120.24315,37.33924
Tehama,2956,-122.3571,39.94355
Glenn,2290,-122.58218,39.64978
Marin,12,-122.5275,37.97638
Los Angeles,175,-122.5275,37.97638
Monterey,96,-121.11936,35.9352
San Benito,215,-120.862579,36.37532
San Luis Obispo,60,-120.670311,35.663607
Orange,155,-117.746625,33.787838
Riverside,154,-117.654299,33.925862
Los Angeles,20,-118.427886,34.110516
Tehama,70,-122.135924,40.394073
Riverside,20,-116.821724,33.524412
Butte,20,-121.617698,39.602703
San Luis Obispo,60,-120.624135,35.58354
Lassen,646,-120.36403,40.3768
Merced,4564,-120.34207,37.39339
Madera,60,-119.91223,37.14663
Mariposa,53,-119.84299,37.47677
Butte,40,-121.521111,39.549167
Lake,32,-122.476381,38.886518
Contra Costa,25,-121.998967,38.015323
Amador,17,-120.892404,38.265645
Alameda,20,-121.806775,37.627119
Merced,185,-121.176354,37.05876
Mariposa,115,-120.199162,37.707234
Contra Costa,40,-121.908976,37.779209
Monterey,10,-120.57833,35.77017
San Luis Obispo,1500,-120.75593,35.73629
San Luis Obispo,10,-120.39295,35.05747
Shasta,328,-122.17457,40.52909
Tehama,3716,-121.77867,40.35068
Tehama,170,-122.19792,40.12791
Tehama,268,-122.27574,40.18395
Lake,15185,-122.59848,39.0674
Los Angeles,62,-118.75495,34.53765
Colusa,75,-122.512012,39.2976
Kern,95,-118.72905,35.1234
Shasta,1678,-122.42308,40.50318
Tuolumne,163,-120.30187,37.80785
Calaveras,80,-120.68902,37.95766
Merced,68,-121.09354,37.08529
Mendocino,90,-123.38493,39.038859
San Joaquin,12300,-120.945482,38.052055
Butte,10,-121.954098,39.6139
Trinity,300,-122.9144,40.60402
Monterey,375,-120.86256,35.95515
Madera,4064,-119.118,37.571
Fresno,76,-119.304499,36.696879
Butte,347,-121.78208,39.59872
San Luis Obispo,260,-120.71488,35.33916
Lassen,441,-120.45053,40.316137
Siskiyou,63,-122.99272,41.83359
Butte,191,-121.637759,39.491737
Sacramento,30,-121.17693,38.595865
Contra Costa,268,-121.9921,37.94714
Santa Clara,70,-121.67144,37.66074
San Bernardino,33,-117.15381,34.17711
"Napa, Yolo",90288,-122.18183,38.80583
Riverside,63,-116.732032,33.56349
Tehama,33,-122.44008,40.00293
Madera,12,-119.50461,37.22791
Siskiyou,215,-123.051,41.085
San Diego,504,-116.7311,32.833674
Contra Costa,45,-122.12351,37.86339
San Diego,10,-116.764733,32.619855
El Dorado,316,-121.059979,38.539806
Siskiyou,38008,-122.534655,41.893332
Amador,825,-120.95408,38.42623
San Bernardino,1350,-116.958806,34.095568
Modoc,2100,-120.11461,41.29363
Santa Barbara,113,-119.831389,34.463889
Santa Clara,116,-121.53586,37.06367
Butte,962,-121.76859,39.77124
San Bernardino,12,-117.35606,34.171786
Mariposa,96901,-119.88581,37.6549
Kern,62,-118.87881,34.86022
Butte,11,-121.51772,39.66492
Santa Clara,70,-121.79189,37.22545
Santa Clara,51,-121.702547,37.163594
Modoc,52,-120.61108,41.50105
San Benito,278,-121.0454,36.65351
Inyo,2883,-118.21881,36.6734
Shasta,31,-122.23449,40.62693
Contra Costa,56,-121.85311,37.79718
Alameda,640,-121.60646,37.75646
San Bernardino,100,-117.40967,34.22526
Madera,11,-119.80414,37.19817
Lake,80,-122.59789,39.06715
Tehama,856,-121.93908,40.33682
San Benito,116,-120.82355,36.59036
Lassen,14,-120.02137,39.99309
Siskiyou,224,-122.47293,41.70877
Lassen,56,-121.21597,40.95234
Humboldt,16,-123.85404,41.34453
Lassen,32,-121.05722,41.08583
Lassen,89,-121.27049,40.94666
Tehama,50,-122.11375,40.27754
Humboldt,3674,-123.688056,41.07944
San Luis Obispo,14,-120.97339,35.70086
San Diego,28,-116.8663,32.557566
Siskiyou,10,-122.37985,41.632373
Santa Barbara,77,-120.3180556,34.54305556
Yolo,822,-121.9938889,38.59694444
Butte,43,-121.43131,39.57202
Mariposa,40,-119.97546,37.28365
San Diego,13,-116.78928,33.04898
Riverside,282,-117.607577,33.836101
Shasta,63,-122.649626,40.741186
Santa Barbara,110,-120.22298,34.62412
Lake,50,-122.86854,38.91152
San Luis Obispo,30,-120.95157,35.68539
San Luis Obispo,37,-120.71907,35.64917
Santa Clara,320,-121.88807,37.449425
Mendocino,67,-123.258319,39.279833
Tulare,34,-118.70443,36.42638
"Shasta, Trinity",229651,-122.62357,40.65428
Los Angeles,128,-118.60441,34.38039
Riverside,40,-116.154398,33.56921
Lake,36,-122.97222,38.981389
Shasta,51,-121.90215,40.824
Lassen,167,-120.82497,40.34822
Santa Clara,20,-121.600023,37.07793
Contra Costa,247,-121.85847,37.89612
San Benito,39,-121.40604,36.796
Alameda,34,-121.55604,37.71173
Mendocino,106,-123.0496,38.8802
San Diego,365,-116.91845,33.07892
Riverside,205,-116.500058,33.571763
Calaveras,136,-120.46078,38.08424
Mariposa,22,-120.0545,37.69965
Alameda,30,-121.79733,37.533026
Kern,2950,-118.83556,35.37444
"Colusa, Glenn, Lake, Mendocino",410203,-123.103367,39.243283
Tulare,100,-118.82989,36.21634
"Colusa, Lake, Mendocino",48920,-123.11971,39.04786
Kern,993,-118.817934,35.387408
Lassen,18703,-120.868091,40.633536
Tuolumne,36450,-119.929,38.349
Inyo,338,-118.970443,37.735461
Riverside,30,-117.43521,33.85852
San Diego,207,-117.24044,33.41476
Sutter,1200,-121.792885,39.186144
Napa,135,-122.18353,38.51943
Mendocino,972,-123.08489,39.82877
Shasta,35,-121.6002,40.95673
San Luis Obispo,51,-120.64398,35.30151
San Diego,14,-116.77154,33.05737
El Dorado,67,-120.874167,38.645
El Dorado,66,-121.03918,38.82128
Placer,700,-121.451307,38.82426
Monterey,2225,-120.343056,35.847778
Orange,23136,-117.52055,33.69888
Riverside,35,-117.460278,33.759722
Calaveras,290,-120.872244,38.061298
Plumas,117,-121.27,39.996944
Kings,2995,-119.98329,35.97896
Marin,45,-122.76751,38.07135
Kern,114,-118.8013889,35.56888889
Shasta,46150,-122.219,40.896
Riverside,23,-117.066643,33.946896
San Diego,250,-116.902985,33.076239
Shasta,1900,-121.52225,40.99344
Napa,10,-122.26389,38.27229
Contra Costa,30,-122.14097,37.99618
Napa,2490,-122.44468,38.69601
Solano,2162,-122.043747,38.431278
Kern,34,-118.51651,35.17156
Nevada,16,-121.07039,39.10494
San Diego,100,-117.0242529,33.0971179
Monterey,650,-120.82226,36.00912
Tulare,668,-118.7393,35.79012
Modoc,39387,-121.04386,41.38544
Alameda,48,-122.02805,37.69926
Kern,367,-118.6525,35.51777778
Shasta,155,-122.8905556,40.36888889
Santa Barbara,1014,-120.0922222,35.11416667
Riverside,10,-117.171731,33.627006
Madera,289,-120.002619,37.197039
Riverside,32,-117.20534,33.97902
Madera,88,-119.431667,37.179167
Lake,103,-122.57496,39.02017
Riverside,36,-117.085354,33.640051
Los Angeles,166,-117.846111,34.2325
Lake,60,-122.3625,38.8275
Santa Barbara,172,-119.61416,34.576944
Modoc,15,-120.72362,41.52123
San Bernardino,125,-117.244366,34.15475
"Shasta, Trinity",63311,-122.43,40.9425
Lake,24,-122.85276,38.91842
Placer,1120,-120.658333,39.268611
El Dorado,150,-120.92611,38.94388
Shasta,13,-122.400556,40.678889
Tuolumne,573,-120.61746,37.83388
Trinity,1751,-123.52019,40.616251
Mono,6974,-119.45186,38.347395
Monterey,400,-121.1563,36.35502
Marin,152,-122.727,38.02447
Kern,200,-118.92485,34.91482
Riverside,25,-116.93188,33.80406
El Dorado,12,-120.65672,38.7448
Los Angeles,3380,-118.60858,34.48229
Madera,360,-119.68912,37.38789
Lassen,53,-120.93005,40.33642
Tehama,261,-121.43025,40.34256
Shasta,76,-122.17173,40.5939
Santa Clara,30,-121.75815,37.33563
Butte,33,-121.62168,39.84151
San Luis Obispo,80,-120.258,-120.258
San Bernardino,53,-117.42431,34.24138
Monterey,150,-121.24898,35.97677
Fresno,32,-119.3127769,36.938674
Tehama,3889,-122.18,40.22027778
Santa Clara,63,-121.6869444,37.1769444
Siskiyou,15,-122.43933,41.94046
Solano,160,-121.94658,38.45673
Monterey,167,-120.69955,36.18401
Shasta,12,-122.51597,40.49618
Shasta,38,-122.38366,40.60866
Butte,10,-121.54103,39.93427
San Luis Obispo,58,-120.48861,35.17693
Tulare,120,-119.10433,36.47766
Butte,550,-121.51707,39.36529
Santa Cruz,17,-122.046,37.0125
Mendocino,35,-123.28774,39.62194
Butte,153336,-121.4347,39.8134
Tehama,60,-122.308479,40.346652
Lassen,88,-120.19336,40.83116
Solano,1500,-121.9424,38.21396
Ventura,4531,-118.93444,34.22685
"Los Angeles, Ventura",96949,-118.70128,34.235
Humboldt,30,-123.6755556,40.61805556
Butte,0,-121.77385,39.71217
Contra Costa,20,-121.7944,37.81111
Humboldt,10,-124.001849,40.888785
San Bernardino,147,-117.43184,34.18075
Alameda,20,-121.94182,37.61158
Ventura,150,-119.0991667,34.30166667
Ventura,186,-118.6438159,34.26734825
Santa Cruz,10,-122.12036,37.12857
Yuba,80,-121.32399,39.24678
Kings,161,-120.09715,35.81778
Butte,10,-121.957,39.83958
Kern,115,-118.92545,35.65189
Butte,50,-121.905,39.85484
Kern,172,-119.19454,35.03855
Kern,2500,-119.62762,35.72057
Placer,65,-120.76088,39.11536
San Diego,22,-116.8663,32.557566
Riverside,130,-116.172534,33.650237
Tehama,63,-122.30737,39.98097
Riverside,26,-117.18194,33.81678
San Luis Obispo,835,-119.96498,35.30759
Fresno,121,-119.3046,36.66909
Riverside,45,-114.57265,33.69078
Santa Clara,144,-121.22093,37.45899
Riverside,55,-116.1466,33.57039
Tulare,155,-119.10974,36.28001
Tulare,257,-118.99229,36.18479
Tulare,33,-118.85712,36.23012
Tulare,25,-118.80582,36.14246
San Luis Obispo,1127,-119.913717,35.343761
Contra Costa,23,-121.9763,38.02503
Solano,24,-122.12214,38.21416
Placer,27,-121.39259,38.75263
Stanislaus,600,-121.09375,37.25988
Yuba,70,-121.56363,39.15641
Yolo,2512,-122.23922,38.88978
Napa,50,-122.47282,38.63047
Sutter,1350,-121.85906,39.28926
San Luis Obispo,1764,-120.41128,35.66318
Santa Clara,210,-121.70768,37.21638
Santa Clara,35,-121.84082,37.44422
Monterey,43,-120.88241,35.97059
Tulare,47,-118.94106,35.89593
San Luis Obispo,120,-120.11738,35.57376
San Diego,15,-116.97772,33.30267
Butte,17,-121.73659,39.76242
Siskiyou,17,-122.35962,41.64895
Siskiyou,10,-122.40157,41.94622
San Diego,120,-117.29665,33.39684
Siskiyou,207,-121.85906,39.28926
Riverside,525,-117.103765,33.919507
Alameda,30,-121.57382,37.75427
Tehama,46,-122.48277,39.97083
Yuba,80,-121.32399,39.24678
Stanislaus,2422,-121.28312,37.46577
Monterey,2546,-120.94771,36.28426
Shasta,90,-122.66779,40.41404
Santa Clara,17,-121.534827,37.494136
Placer,148,-121.39419,38.73817
Riverside,20,-117.15738,33.80493
Nevada,2,-121.0005556,39.40972222
San Diego,28,-116.9141667,32.62305556
Riverside,214,-116.980528,33.911
Merced,210,-120.242411,37.312877
Butte,12,-121.23431,39.32889
Santa Clara,74,-121.694968,37.18904
San Joaquin,283,-121.538382,37.63206
Alameda,25,-121.3697,37.469
Contra Costa,24,-122.16201,37.99837
Shasta,30,-122.767256,40.41741
Lassen,263,-120.392768,40.679318
Yuba,38,-121.35014,39.06066
Mariposa,244,-120.296551,37.524378
San Luis Obispo,974,-120.2691667,35.63111111
Monterey,190,-120.8092,35.95191
Riverside,20,-116.953889,33.69055556
San Diego,100,-116.7525,32.566389
Riverside,80,-116.07896,33.56938
Alameda,22,-121.586846,37.093243
Shasta,30,-122.435492,40.463936
Riverside,96,-117.1228851,33.8128372
Lassen,193,-120.158273,40.072739
Ventura,131,-118.96,34.366111
Stanislaus,202,-120.84372,37.944751
Santa Clara,47,-121.7644444,37.32555556
Madera,213,-119.934167,37.016944
Riverside,81,-116.7884,33.514658
San Joaquin,90,-121.468074,37.962557
Modoc,128,-120.306,41.909
San Diego,25,-116.839743,32.794768
Stanislaus,35,-121.371276,37.420988
Calaveras,27,-120.78068,38.115224
Mariposa,149,-120.027731,37.241427
Kern,208,-118.9183333,34.9008333
Napa,64,-122.143942,38.481258
San Bernardino,81,-117.10318,34.42386
Butte,10,-121.579738,39.423833
Solano,183,-122.118889,38.158333
Santa Clara,80,-121.807258,37.433192
San Luis Obispo,95,-120.435278,35.004722
Siskiyou,83,-122.656569,41.834366
Siskiyou,35,-122.845,41.838
Mendocino,130,-123.846013,39.831762
San Bernardino,156,-117.769766,33.997528
Modoc,14217,-121.260305,41.79591
San Diego,150,-116.796032,32.767649
Santa Barbara,100,-119.94974,34.665699
Monterey,316,-120.984167,35.908333
Monterey,280,-121.466944,36.008889
El Dorado,13,-120.75664,38.757636
Kern,448,-118.41204,35.60989
San Diego,448,-117.026667,32.575556
Sacramento,84,-121.123611,38.3525
Sacramento,50,-121.114095,38.622058
Modoc,103,-120.23976,41.43783
Contra Costa,757,-121.872941,37.908362
Los Angeles,156,-118.752395,34.677864
San Bernardino,26,-116.4449,34.202883
Shasta,30,-122.25409,40.55924
Kern,29,-118.623651,35.287373
Riverside,94,-117.333728,33.740219
Contra Costa,58,-121.678172,37.968494
Lassen,130,-120.336977,40.886677
Lassen,107,-121.320838,40.900458
Lake,20,-122.7751,38.99174
Tuolumne,21,-120.420058,37.949747
Lassen,1020,-120.275298,40.943799
Alameda,240,-121.841879,37.708743
Yolo,33,-121.423281,39.171091
Riverside,20,-117.004667,33.909792
Shasta,46,-122.54364,40.46968
Mendocino,225,-123.195306,39.005262
Los Angeles,105,-118.342239,34.675542
Solano,81,-121.969167,38.455
El Dorado,16,-120.890556,38.703889
Colusa,20,-122.309167,39.088333
Santa Clara,60,-121.761974,37.219717
Shasta,156,-122.159393,40.484329
Mariposa,423,-120.208019,37.532028
San Diego,80,-116.760465,32.57394
El Dorado,35,-120.826165,38.652475
Mariposa,1300,-120.177018,37.536069
Alameda,139,-121.55867,37.71734
Shasta,600,-122.241944,40.715556
Riverside,34,-116.857817,33.4506
Lassen,131,-120.544,40.562
Lassen,2438,-120.029722,39.892222
Riverside,80,-117.487578,33.77777348
Santa Clara,35,-121.45597,37.034183
Riverside,12,-116.914799,33.463991
Lassen,3380,-120.581,40.593
Alameda,19,-121.657011,37.718636
Tulare,756,-119.030621,36.40193
Monterey,66,-120.992914,35.906482
Ventura,279,-119.3547,34.71011
Alameda,11,-121.596667,37.545167
San Benito,167,-120.8405,36.600167
San Bernardino,15,-117.343833,34.353667
El Dorado,85,-120.946657,38.898915
Santa Cruz,10,-122.07743,37.178353
Plumas,54612,-120.680556,40.061389
Riverside,1926,-117.273157,33.528469
Lake,28,-122.642572,38.910498
San Benito,17,-121.39478,36.732866
Tehama,8838,-122.64,40.12
San Joaquin,44,-120.945044,38.017138
Trinity,244,-123.222196,40.062304
Tehama,5332,-122.789,40.109
Mono,4840,-118.872,37.826
Modoc,5737,-121.056,41.748
Inyo,1975,-118.228,36.284
Tulare,381,-118.185,36.151
Inyo,10296,-118.345,37.034
Butte,58,-121.412333,39.470333
Lassen,260,-120.606,44.734
Siskiyou,1872,-122.662258,41.862237
Siskiyou,227,-123.2129356,41.4929742
Trinity,280,-122.634108,41.150392
Lake,53,-122.833831,38.955024
Butte,496,-121.412619,39.45296
Siskiyou,15,-122.740333,41.512917
Riverside,250,-117.3063,33.9369
Santa Barbara,200,-120.187368,34.630919
Riverside,10,-116.631106,33.496633
Stanislaus,190,-121.110146,37.32585
Riverside,34,-117.270144,33.854597
Stanislaus,11,-120.401028,37.492002
Riverside,520,-117.043723,33.4853
Siskiyou,91,-123.000833,41.749667
Riverside,167,-116.801111,33.635
Placer,604,-121.432636,38.751648
Santa Clara,128,-121.842751,37.467744
San Luis Obispo,220,-120.455883,35.214364
Riverside,98,-117.170588,33.900994
Calaveras,67,-120.827386,38.20177
Tuolumne,83,-120.625556,37.838333
Shasta,16,-122.039167,40.612556
San Diego,200,-116.806941,32.787656
Amador,10,-120.67131,38.332083
San Diego,52,-116.88,32.87833333
Solano,30,-122.2561111,38.07944444
Butte,300,-121.693472,39.622137
El Dorado,22,-120.965105,38.538467
Riverside,19,-117.033598,33.703546
Fresno,25,-120.634179,36.154184
San Luis Obispo,52,-120.1755,35.189783
Stanislaus,18,-121.336465,37.429506
Glenn,63,-123.4375,41.70611111
Mendocino,10,-123.458782,39.613783
Mariposa,5563,-119.96606,37.604638
Napa,526,-122.211671,38.165873
Santa Clara,29,-121.219163,37.066483
Tehama,11,-122.070055,40.314187
Alameda,12,-121.853,37.606
"Monterey, San Luis Obispo",289,-120.73102,35.79069
Tehama,68,-122.1604,39.847708
Tehama,10,-122.160416,39.847708
Contra Costa,40,-122.103867,37.828267
Riverside,9,-117.499619,33.827979
Riverside,350,-117.207068,33.975405
Riverside,1011,-117.059167,33.9925
Shasta,42,-122.19911,40.4988
Riverside,75,-116.897333,33.8615
Ventura,91,-118.950833,34.156389
Los Angeles,8799,-118.48161,34.32988
San Luis Obispo,30,-120.312856,35.709176
El Dorado,3435,-120.145,38.724
Ventura,200,-119.20187,34.23955
Lassen,55,-120.304341,40.387772
Riverside,75,-116.05898,33.45148
Contra Costa,15,-122.245186,38.045866
San Diego,10,-117.097441,32.762706
Santa Barbara,420,-120.190833,34.484722
Lake,25,-122.604425,38.88913
Fresno,137,-120.460189,36.319291
San Bernardino,11,-117.21545,34.033117
Los Angeles,42,-118.554091,34.055768
Sonoma,77758,-122.780053,38.792458
San Bernardino,145,-117.274276,34.183624
Marin,67,-122.636471,37.896231
Butte,80,-121.800538,39.551423
Los Angeles,4615,-118.368056,34.472778
San Mateo,62,-122.361112,37.166674
Alameda,35,-121.68598,37.62782
San Diego,97,-116.742508,33.055124
San Diego,37,-117.027333,33.259861
Tehama,605,-122.25421,40.00171
Contra Costa,200,-121.64118,37.99136
Contra Costa,150,-122.2241,38.03545
Solano,140,-122.22463,38.07205
Mendocino,703,-123.12887,39.22431
Contra Costa,50,-122.11092,37.97911
Los Angeles,745,-118.478717,34.098191
Ventura,1806,-118.803389,34.282179
Riverside,494,-117.4625,34.01778
Riverside,328,-117.414111,33.985972
San Diego,50,-116.834583,32.564583
San Bernardino,200,-117.285,34.183
Ventura,9999,-118.997115,34.302212
Riverside,19,-117.461363,33.849906
Tehama,2534,-122.637837,40.036379
Lake,75,-122.496548,39.100408
Placer,355,-121.325842,38.838992
Santa Barbara,3126,-119.785,34.5025
Humboldt,15,-123.6378411,40.511092
Sierra,102,-120.3291855,39.6923001
Tehama,75,-122.8472222,40.33583333
Lassen,57,-120.49392,40.62155
"Glenn, Mendocino",211,-122.9411111,39.75638899
Glenn,154,-122.384532,39.774968
Riverside,180,-117.51793,33.96957
Riverside,20,-117.40906,33.65263
Imperial,275,-115.5865,32.93432
Tehama,26,-122.43905,40.09554
Trinity,55,-122.97693,40.63442
Contra Costa,47,-121.595225,37.82066
Kings,2060,-120.106407,36.075003
Santa Barbara,156,-120.29379,34.47438
Butte,17,-121.47273,39.42208
Riverside,20,-117.024114,33.861054
Madera,152,-119.982359,37.11715
Napa,20,-122.403634,38.697834
San Luis Obispo,5000,-120.70524,35.34237
Riverside,60,-117.34934,33.83167
Contra Costa,60,-86.8616,35.9994
Santa Barbara,1395,-119.74577,34.01389
Madera,237,-119.93221,37.11806
Placer,650,-121.390862,38.824371
Mendocino,10,-123.48018,39.1296
Lassen,37,-120.288882,40.809323
Riverside,129,-116.524014,33.782532
Solano,300,-122.042199,38.232281
Santa Clara,19,-121.726223,37.329163
Shasta,15,-122.097933,40.837885
Santa Clara,126,-121.851895,37.229703
Placer,39,-121.340239,38.98487
Sonoma,141,-122.549816,38.224849
Solano,79,-122.156313,38.196893
Sonoma,107,-122.536406,38.216134
Solano,1837,-122.038208,38.470809
Contra Costa,100,-122.002811,37.994368
Monterey,211,-121.0781,36.2644
Mariposa,85,-120.215454,37.61955
Stanislaus,80,-121.16483,37.463636
Riverside,27,-117.37581,33.638067
Monterey,230,-120.81509,35.94979
Riverside,100,-117.46036,33.82925
Riverside,20,-116.89655,33.78275
El Dorado,29,-120.988571,38.827755
